RK,PLAYER,Team,PASS EPA,RUN EPA,SACK EPA,PEN EPA,TOTAL EPA,ACT PLAYS,RAW QBR,TOTAL QBR,Season
52,Khalil Tate, ARIZ,32.6,3.1,-7.5,5.5,33.3,422,63.2,63.8,2018
53,Steven Montez, COLO,43.7,11.5,-18.3,4.7,41.5,539,60.8,63.5,2018
54,Adrian Martinez, NEB,27.7,11.1,-13.4,0.2,26.1,524,53.3,63.1,2018
55,Anthony Brown, BC,33.3,2.4,-11.5,-1.7,22.6,367,56,62.9,2018
56,JT Daniels, USC,47,-5.1,-17.1,2.9,28,457,55.6,62.7,2018
57,Anthony Russo, TEM,36.9,4.6,-8.4,-0.3,32.8,417,60.3,62.3,2018
58,Clayton Thorson, NW,43.9,3.6,-27.2,7.3,28.1,608,50.4,62,2018
59,Riley Neal, BALL,22.2,15.6,-8.1,2.4,32.1,459,60.2,61.7,2018
60,David Pindell, UCONN,21.2,35.2,-14.4,3.2,45.2,565,65.7,60.9,2018
61,Jett Duffey, TTU,17.6,2.8,-8.8,0.5,11.4,251,52.4,60.8,2018
62,Tyler Huntley, UTAH,28.8,8.4,-14.5,1,23.6,386,55.8,60.2,2018
63,Jarrett Stidham, AUB,31.7,-3.6,-15.4,2.3,15,473,47.5,60.1,2018
64,Sam Hartman, WAKE,23.1,7.2,-12.4,2,19.8,419,51.8,58.9,2018
65,Nick Fitzgerald, MSST,3.3,27.1,-15.8,0.5,15,538,46.5,58,2018
66,Evan Orth, USA,25.4,2.1,-7.8,2.7,22.6,316,61.9,57.5,2018
67,Cole McDonald, HAW,63.9,11.7,-20.7,4.3,59.6,672,65.8,57.1,2018
68,Shawn Robinson, TCU,8.2,8.9,-5.5,2.3,13.9,273,51.6,57.1,2018
69,Terry Wilson, UK,26.6,2.3,-18,3.7,14.5,436,47.9,56.7,2018
70,Chris Robison, FAU,32.3,4.5,-4,-0.8,32.1,404,62.3,56.5,2018
71,Blake LaRussa, ODU,53.1,-2.6,-18.4,4.7,37.1,479,61,56.1,2018
72,Gus Ragland, M-OH,43,6.1,-12,1.4,37.9,504,59.3,55.5,2018
73,Mason Fine, UNT,67.2,-7.4,-16.4,3.8,47.2,573,62.5,54.8,2018
74,Desmond Ridder, CIN,42.1,12.3,-14.6,-0.3,39.4,499,60.9,54,2018
75,Brent Stockstill, MTSU,55.9,0.7,-24.7,2.4,34.3,629,54.3,53.7,2018
76,Kenny Pickett, PITT,18.6,9.1,-23,0.3,5.1,477,40.9,53.7,2018
77,Brady White, MEM,52.8,-2.2,-13,0.3,37.8,493,62.3,53.7,2018
78,TaQuon Marshall, GT,8.7,4.8,-7.6,0.8,6.9,344,44.5,52.7,2018
79,AJ Bush Jr., ILL,5,17.6,-9.8,1.4,14,376,50.3,52.7,2018
80,Eli Peters, TOL,16.8,5.1,-5.1,3.1,20.1,321,60.9,52.4,2018
81,Chase Garbers, CAL,9.8,14.5,-14.2,2.1,11.8,387,47.2,52.2,2018
82,Nathan Elliott, UNC,14,-4.9,-4,0.5,5.9,395,42.4,51.5,2018
83,Brian Lewerke, MSU,9.8,4.5,-16,2.5,0.7,466,38.2,50.4,2018
84,Justice Hansen, ARKST,56.3,2.3,-14.2,2,46.9,617,60.7,49.1,2018
85,Jarret Doege, BGSU,50.1,-4.7,-17.9,3,31,487,57.8,48.3,2018
86,Dan Ellington, GAST,24.9,18.2,-15.9,2.6,29.8,484,59.4,48.2,2018
87,Caleb Evans, ULM,31.7,16,-9.5,0.8,38.9,548,60.4,47.2,2018
88,Ryan Agnew, SDSU,24.9,10,-14.8,0.2,19.9,328,54.8,46.9,2018
89,Andre Nunez, ULL,28.1,-0.5,-10.9,-0.1,16.6,375,52.6,46.6,2018
90,Isaiah Green, MRSH,24.8,-1.1,-5.9,2.1,20,408,52.8,46.5,2018
91,Ross Comis, UMASS,21.9,9.1,-14.5,0.5,16.8,303,57.7,46.1,2018
92,A.J. Erdely, UAB,15.4,9.7,-8.6,1.8,18.3,293,56.9,46.1,2018
93,Dorian Thompson-Robinson, UCLA,6.7,6.3,-13.7,-1.3,-1.9,267,35.6,46,2018
94,Woody Barrett, KENT,13.9,30.8,-18.9,3.8,29.5,614,52.7,45.8,2018
95,K.J. Carta-Samuels, CSU,35.5,-6.9,-8.7,0.9,20.8,373,56.1,45.8,2018
96,Deondre Francois, FSU,16.1,-3.1,-16.3,2.3,-0.8,540,37.3,45.3,2018
97,Kato Nelson, AKRON,26.6,8.7,-18.4,1.7,18.3,523,48.6,45.2,2018
98,Ty Gangi, NEV,33.1,1,-8.7,3.5,28.7,536,53.3,44.7,2018
99,J'Mar Smith, LT,37.6,3.9,-21.9,3.8,23.4,587,49.5,44.2,2018
100,Sawyer Smith, TROY,32.9,-7.3,-6.5,-0.4,18.7,332,55.2,44.2,2018
101,Kasim Hill, MD,6.6,-0.4,-9.6,2,-1.3,243,36.2,43.6,2018
102,Blake Barnett, USF,37.3,14.9,-19.9,-1.2,31,498,56.9,43.6,2018
103,Sheriron Jones, UNM,7.7,7.3,-7.9,1.6,8.8,288,48.9,43.5,2018
104,Jawon Pass, LOU,7.3,2.6,-15.2,1.3,-3.9,405,34.4,43.1,2018
105,Tyler Wiegers, EMU,34.2,-2.1,-21.5,0.5,11,353,46.7,43,2018
106,Steven Duncan, WKU,12.6,-1.2,-7.3,1.1,5.2,286,44,42.8,2018
107,Ben Hicks, SMU,18.8,5.9,-18.1,4.4,11.5,461,45.4,42.8,2018
108,Stephen Calvert, LIB,36.8,-1.9,-11.3,4.3,28.1,507,55,41.8,2018
109,Holton Ahlers, ECU,10.7,9.3,-9.3,1.5,12.4,409,47.8,40.8,2018
110,Marcus Childers, NIU,14.5,16.9,-28,3.4,6.6,635,40.6,40,2018
111,Peyton Bender, KU,17.2,0.5,-15.6,-1.5,0.7,392,38.3,39.7,2018
112,Willie Jones III, TXST,15.3,9.3,-7.6,0.4,17.5,244,59.9,38.6,2018
113,N'Kosi Perry, MIAMI,2.5,4.3,-10,2.4,-0.9,273,36.8,37.5,2018
114,Josh Love, SJSU,21.4,-1.6,-10,1.3,11.1,345,47.4,35.7,2018
115,Ty Storey, ARK,2.6,-4.1,-13.2,-0.6,-15.3,343,25,35.6,2018
116,Collin Hill, CSU,8.1,-1.2,-8,-0.8,-2,253,34.9,34.4,2018
117,Reid Herring, ECU,12.5,-1.3,-5.8,5.6,11,334,47.4,33.7,2018
118,Tommy Lazzaro, CMU,1,5.6,-7.7,1.5,0.4,263,38.2,31.7,2018
119,Shawn Stankavage, RICE,10,0,-9.2,-0.4,0.6,283,38.4,31.1,2018
120,Josh Adkins, NMSU,23.3,-3.8,-13,0.8,7.4,502,42.5,29.8,2018
121,Max Gilliam, UNLV,5.8,-2.8,-5.8,0,-2.6,303,34.8,29.6,2018
122,Seth Boomer, TLSA,14.4,1.5,-14.7,-0.8,0.3,280,38.1,29.4,2018
123,Jack Abraham, USM,23,-4,-20,-0.2,-1.2,375,36.8,27.2,2018
124,Cordale Grundy, UTSA,0,3.3,-9.4,2,-4.1,294,33.4,25,2018
125,Tyler Vander Waal, WYO,-2.1,0.7,-15.2,0.2,-16.5,346,25.5,19.5,2018
126,Kai Locksley, UTEP,-3.6,5.7,-12.8,0.1,-10.6,307,28,17.7,2018
127,Tyler Vitt, TXST,-4.6,0.8,-12.4,1.1,-15.4,296,24.1,17.2,2018
128,Artur Sitkowski, RUTG,-23.6,-4.2,-8.5,2.4,-33.8,318,12.9,12.8,2018
1,Baker Mayfield, NOR,113,18.5,-19.1,2.1,114.7,531,89.2,92.3,2017
2,Khalil Tate, ARIZ,33.4,49.3,-7.4,3.3,78.8,361,89.6,92,2017
3,Mason Rudolph, OKST,103.9,8.3,-14.4,7.6,105.4,591,85.7,86.7,2017
4,Lamar Jackson, LOU,53.6,62.9,-15.8,-0.8,99.4,714,78,85.4,2017
5,McKenzie Milton, UCF,83.6,33.3,-6.5,2.8,113.2,548,87.6,84.1,2017
6,Jake Fromm, UGA,57.2,8.4,-14.6,1.6,52.7,394,76.2,84.1,2017
7,Jalen Hurts, ALA,34.5,25.4,-13.7,3.6,49.9,435,73.1,83.4,2017
8,J.T. Barrett IV, OSU,38.1,34,-10.1,6.9,69,584,75.8,81.8,2017
9,Trace McSorley, PSU,67.2,13.3,-13.9,3.4,69.9,590,74.8,81.5,2017
10,Danny Etling, LSU,49.2,10.4,-16,2.6,46.3,379,73,80.8,2017
11,Ryan Finley, NCST,70.4,9.3,-7.6,5.7,77.8,591,72.8,80.4,2017
12,Justin Herbert, ORE,36.2,10.7,-7.1,1.1,40.9,279,81.6,80.1,2017
13,Ahmad Bradshaw, ARMY,-4.2,57.2,0,-0.7,52.4,308,82,79.5,2017
14,Nick Fitzgerald, MSST,11.5,47,-4.1,1.3,55.7,477,73.5,78.5,2017
15,Brian Lewerke, MSU,50.2,23.1,-12.4,4,64.8,593,70.4,77.7,2017
16,John Wolford, WAKE,54.3,17.6,-10.3,-1,60.6,555,69.5,77.6,2017
17,Kelly Bryant, CLEM,46.6,21.1,-15.5,4.3,56.5,621,65.9,77.6,2017
18,Brandon Wimbush, ND,15.5,31.1,-12.1,2.6,37,445,65.2,76.2,2017
19,Will Grier, WVU,71.9,-4.9,-8.8,4.2,62.6,480,74.5,75.8,2017
20,Drew Lock, MIZ,56.5,1.6,-7,3.7,54.8,514,72.5,74.4,2017
21,Jon Wassink, WMU,30.7,8.5,-5.3,1.1,34.6,251,74.9,74.1,2017
22,Alex Hornibrook, WIS,52.4,-3.8,-12.9,2.7,38.7,393,65.6,74,2017
23,Nathan Rourke, OHIO,24,47.7,-11.4,7.8,68.1,467,78.4,73.5,2017
24,Sam Darnold, USC,78.5,2.6,-19.2,-1.6,60.3,601,67.4,73.2,2017
25,Jordan Ta'amu, MISS,27.3,7.3,-9.1,0.1,25.6,246,69.4,72.8,2017
26,Logan Woodside, TOL,77.2,-0.2,-11.4,1.8,67.8,512,77,72.4,2017
27,Kyle Kempt, ISU,40.8,-1.5,-8.9,4.3,34.7,305,68.6,72.1,2017
28,Jake Browning, WASH,49.8,6.9,-13.8,1.1,44.1,428,70.5,71.9,2017
29,Nic Shimonek, WEST,69.5,4.5,-18.7,5.5,60.8,593,66.8,71,2017
30,Riley Ferguson, EAST,83.8,10,-14.3,3.3,82.8,585,77.1,70.7,2017
31,Clayton Thorson, NW,42.4,29.6,-19.3,0.8,54,556,66.1,70,2017
32,Brett Rypien, BSU,55.7,0.3,-13.1,2.7,45.6,422,69.8,69.7,2017
33,Tyree Jackson, BUFF,43.7,10.9,-6.8,1.1,49,310,79,69.6,2017
34,TaQuon Marshall, GT,4.1,37.6,-12.1,2.1,31.3,388,61.6,69.2,2017
35,Quinton Flowers, EAST,49.7,36.4,-9.5,2.8,79.6,593,76.3,68.5,2017
36,Jason Driskel, FAU,38.3,12.8,-4.3,2.7,49.8,398,77.9,68.2,2017
37,Nick Stevens, CSU,68.1,8.4,-8.9,3.9,71.4,569,74.4,67.7,2017
38,Malik Rosier, MIAMI,32.3,18.2,-13.8,4.1,40.7,579,58,67.7,2017
39,Jarrett Stidham, AUB,50.2,1.2,-24.1,4.7,31.9,509,56.5,67.2,2017
40,Taylor Lamb, APP,40.2,24.1,-5.6,1.6,60.3,461,74.5,67.2,2017
41,Eric Dungey, SYR,23.2,21.3,-15.5,4,33,569,55,66.7,2017
42,Caleb Evans, ULM,46,18.4,-10.3,2,56,517,69.6,66.7,2017
43,Stephen Johnson, UK,30.7,22,-16.8,4.5,40.3,464,62,66.3,2017
44,Chad President, TLSA,5,24.3,-4.8,2,26.5,249,69,65.4,2017
45,Jake Bentley, SC,40.5,15.1,-19.4,2.3,38.4,498,59.8,65.1,2017
46,Ben Hicks, SMU,65.4,2.4,-12.2,2.6,58.5,562,68.8,64.5,2017
47,Kenny Hill, AMR,53.3,5.5,-12.2,1.1,47.5,533,64.2,64.1,2017
48,Josh Rosen, UCLA,51.6,3.9,-16.9,1.9,40.5,536,60.2,64.1,2017
49,Manny Wilkins, ASU,48.9,12.9,-21,2.2,42.9,575,60.6,63.7,2017
50,Ty Gangi, NEV,38.5,7.9,-4.3,5.3,47.5,451,69.8,63.3,2017
51,Kyle Shurmur, VAN,37.7,0,-12,2.3,28,465,58.8,62.9,2017
52,Marcus McMaryion, FRES,36.5,11,-4.9,0.4,42.9,445,67.2,61.8,2017
53,Tanner Lee, NOR,31.7,0.9,-10.4,-0.9,21.3,487,51.8,61.6,2017
54,Alex McGough, FIU,54.4,17.5,-15,0.3,57,463,72.9,61.5,2017
55,Charlie Brewer, BAY,29.2,-2.6,-9.2,0.4,17.7,292,57.3,61.2,2017
56,Chase Litton, MRSH,58.3,-0.6,-6.6,7.1,58.3,520,69.1,60.8,2017
57,Josh Jackson, VT,34.2,5.8,-12.7,2.7,29.6,556,54.1,60.3,2017
58,Josh Allen, NOR,26.3,17.4,-11.8,0.6,32.5,382,64.6,60.1,2017
59,Tyler Huntley, UTAH,38,13.5,-17.9,1.7,35.4,525,59,59.5,2017
60,Shea Patterson, MICH,28,0.2,-11.1,0.5,17.6,331,56.3,58.8,2017
61,Richard Lagow, IND,22,-4.5,-10.4,3,10.1,355,46.2,58.5,2017
62,Austin Allen, NTL,22,-0.1,-12.7,0.3,9.7,246,49.5,58.2,2017
63,Steven Montez, COLO,49.2,10.8,-21.9,-0.5,37.9,550,58.8,58,2017
64,Brandon Silvers, SOU,51.7,7.9,-9.5,1.8,52,547,65.4,57.7,2017
65,Mason Fine, UNT,70,1.1,-22.3,4.2,52.9,659,64.6,56.8,2017
66,Jonathan Banks, TULN,24.6,25.4,-14,2.5,38.4,402,67.3,55.9,2017
67,Nate Stanley, IOWA,36.8,-6.7,-16.3,2.3,15.8,438,47.9,55.9,2017
68,Anthony Brown, BC,-1.3,8.1,-4.3,2.6,5,324,42.2,55.6,2017
69,Thomas Sirk, ECU,16.3,3.5,-3.1,5.5,22.1,327,59.8,55.4,2017
70,Zach Abey, NAVY,8.7,26.1,-5.7,-0.8,28.3,379,59.7,55.4,2017
71,Elijah Sindelar, PUR,22.1,-0.4,-12.9,1.2,9.9,385,45,55.3,2017
72,Gardner Minshew, WSU,18.7,-0.4,-3.5,2.6,17.3,351,57.8,54.1,2017
73,Luke Falk, NOR,44.5,-1.5,-20.8,3.2,25.4,633,50.7,53.9,2017
74,Armani Rogers, UNLV,10.3,32.8,-13.3,0.3,30.2,352,64,53.4,2017
75,Daniel Jones, DUKE,15.9,23.8,-22.2,5.5,22.8,646,48.2,52.8,2017
76,Justice Hansen, ARKST,63.6,10.9,-19.9,4.1,58.4,671,63.9,52.4,2017
77,Kurt Benkert, SOU,33.1,0.6,-21.4,2.8,15.2,612,45.4,52.3,2017
78,Mike White, SOU,85.5,1.6,-31.6,0.6,56.1,668,62.4,51.4,2017
79,Peyton Ramsey, IND,19.4,-1.9,-9.3,2.7,10.9,327,48.1,51.2,2017
80,Conner Manning, GAST,54.1,2.8,-11.8,-0.2,44.8,510,64.1,50.8,2017
81,Kellen Mond, TA&M,4.2,12.9,-12.6,4.1,8.5,340,45.2,50.7,2017
82,Dalton Sturm, UTSA,33.8,18.5,-14.2,3.4,41.2,460,63.3,50.7,2017
83,A.J. Erdely, UAB,31.5,23.9,-17.1,1.9,40.1,486,62.8,49.5,2017
84,Jordan Davis, ULL,14,13.8,-10.1,0.9,18.5,300,57.3,49.2,2017
85,Gus Ragland, M-OH,31.5,3,-12.2,4.2,26.6,375,58.6,48.9,2017
86,J'Mar Smith, LT,40.6,12.6,-16.2,3.9,40.9,573,58.7,47.9,2017
87,Kwadra Griggs, USM,27.5,3,-5.5,0.8,25.7,371,60.6,47.3,2017
88,Sam Ehlinger, TEX,13.9,2.1,-7.9,1,9.1,412,43.7,47.1,2017
89,Brogan Roback, EMU,35.1,-2,-12.6,5.7,26,492,52.4,46.5,2017
90,Ross Bowers, CAL,34.5,-1.5,-22,0.5,11.5,572,43.5,45.7,2017
91,Brent Stockstill, MTSU,19.6,1.6,-6.9,2.2,16.5,295,54.6,45.6,2017
92,Andrew Ford, UMASS,52.5,3.6,-25.8,2.3,32.6,453,58.6,45.3,2017
93,Tyler Rogers, NMSU,45.9,3.4,-16.4,-0.4,32.7,684,51.5,44.7,2017
94,James Blackman, FSU,24.6,-8.5,-22.5,2.5,-3.9,403,35.1,44.5,2017
95,Chazz Surratt, UNC,10.3,-3,-10,0.9,-1.8,290,35.9,44,2017
96,Thomas Woodson, AKRON,20.4,-3.9,-9.7,5.5,12.4,357,48.1,42.2,2017
97,Kent Myers, USU,7.1,9,-10.2,0.5,6.4,297,45.6,41.5,2017
98,Marcus Childers, NIU,18,3.3,-11.2,1.6,11.6,440,45.7,41.1,2017
99,Dru Brown, HAW,32.6,5.3,-20.3,0.6,18.2,515,49,40.5,2017
100,Hayden Moore, CIN,24.3,0.9,-11.9,-0.6,13.4,564,44.9,40.3,2017
101,Shane Morris, CMU,27.7,-3.7,-14.9,4.3,13.4,568,44.9,39.9,2017
102,Shane Buechele, TEX,13.1,6.5,-15.9,-1.1,2.6,301,40.3,39.3,2017
103,Christian Chapman, SDSU,33.6,-3.2,-18.9,1.2,12.7,356,48.5,38.7,2017
104,Bryant Shirreffs, UCONN,28.3,-0.8,-17,2.7,13.3,378,48.7,38.4,2017
105,Max Bortenschlager, MD,4.7,-1.1,-17.5,3.9,-10.2,333,28.6,38.4,2017
106,John Urzua, MTSU,14.3,1.7,-7.7,1.4,9.7,260,48.9,38.1,2017
107,Darell Garretson, ORST,6.9,-4.5,-6,0.7,-2.8,291,34.5,37.2,2017
108,Feleipe Franks, FLA,5.2,0.2,-17.3,0.3,-11.6,317,27.6,36.8,2017
109,Logan Marchi, TEM,14.5,-1.7,-7.8,3.2,8.3,299,45.8,36.3,2017
110,David Pindell, UCONN,-0.7,7.3,-5.3,1.7,2.8,252,41.5,35.8,2017
111,Tanner Mangum, BYU,9.8,-1.4,-8.2,-1.3,-1.2,309,36.6,35.3,2017
112,Cole Garvin, USA,10.9,-1.3,-9.8,0.6,0.4,285,38.2,34.8,2017
113,Matt Linehan, IDAHO,28.6,0.1,-22.8,2,7.9,379,44.3,32.8,2017
114,Peyton Bender, KU,5.3,-2,-7.3,0.9,-3.1,319,34.3,32.7,2017
115,Zach Smith, BAY,1.9,-2.8,-11.2,0.4,-11.5,248,24.8,30.1,2017
116,Steven Williams, ODU,7.5,5.6,-9.1,1.7,5.9,375,42.5,29.7,2017
117,Arion Worthman, AFA,12.9,-6,-11,0.9,-3,342,35.3,29,2017
118,Damian Williams, TXST,16.4,-4.5,-18.6,7.2,0.4,486,38,28.1,2017
119,Carter Stanley, KU,-2.6,-1.6,-6.8,3.1,-7.9,257,28.2,28.1,2017
120,Dallas Davis, USA,10.4,-5.9,-5.5,0,-1,241,36.6,26,2017
121,Hasaan Klugh, CHAR,-12,18.5,-12.2,0.9,-4.7,459,34.8,25.7,2017
122,Jordan Love, USU,6.5,-4.4,-5.1,1,-2,304,35.7,24.5,2017
123,James Morgan, BGSU,-0.8,-1.6,-7.1,0.1,-9.3,253,27.7,21.5,2017
124,Jack Milas, BALL,-1.9,0.2,-6.9,-0.8,-9.4,260,25.7,20.8,2017
125,Shai Werts, GASO,3.4,-8,-11.7,0.4,-15.7,380,25.4,19.7,2017
126,George Bollas, KENT,-5.4,0.6,-13,3.2,-14.8,309,24.8,19.4,2017
127,Montel Aaron, SJSU,5.7,-7.1,-13.5,0,-14.9,305,22.6,19.1,2017
1,Baker Mayfield, OKLA,98.9,4,-10.9,3.1,95.1,464,89.5,91.8,2016
2,Quinton Flowers, USF,47.7,67.8,-6.5,-1,108,566,87.2,86.3,2016
3,Sam Darnold, USC,66.6,3.1,-3.8,2.3,68.3,474,79.5,86.2,2016
4,Lamar Jackson, LOU,54.2,59.3,-23.6,-1.2,88.6,710,77.5,84.8,2016
5,Deshaun Watson, CLEM,93.1,6.2,-11.1,8.6,96.8,796,72,83.9,2016
6,Mitchell Trubisky, UNC,93.9,9.3,-13.7,1.1,90.5,606,77.7,83.6,2016
7,Patrick Mahomes, TTU,102.7,28.9,-18.1,2.5,116,784,79.7,82.5,2016
8,Zach Terrell, WEST,77.9,14.1,-10.4,0.2,81.8,493,83.5,81.9,2016
9,Chad Kelly, MISS,50.6,9.1,-12.7,4.3,51.2,447,70.3,81.4,2016
10,Jake Browning, WASH,62.8,6.5,-14.5,2.7,57.5,494,76.6,81.3,2016
11,Nathan Peterman, NOR,49,8.5,-7.3,6,56.4,423,75.3,81.2,2016
12,Joshua Dobbs, SOU,43.4,36.6,-21.1,2.9,62,533,70.1,79.8,2016
13,Will Worth, NAVY,30.4,31.1,-6.4,1.8,57,401,79.2,79.6,2016
14,Deondre Francois, FSU,55.2,13.6,-19.2,3.1,52.4,558,65.5,78.4,2016
15,Justin Thomas, SOU,32.5,13.8,-9.1,3.5,40.7,315,73.8,78.2,2016
16,Brandon Dawkins, ARIZ,12.3,31.2,-7.7,3.8,39.6,339,72,78.2,2016
17,Logan Woodside, TOL,95,-5.7,-9.1,1.2,81.5,504,80.9,77.9,2016
18,Mike White, WKU,85.7,-3.9,-10.8,0.5,71.1,475,81.3,77.6,2016
19,Nick Fitzgerald, MSST,15.9,61.3,-8.9,2.9,71.3,599,74.5,77.4,2016
20,Mason Rudolph, OKST,79.8,6.7,-19.7,4.1,70.9,563,72.6,75.7,2016
21,Jesse Ertz, KSU,29.1,39.7,-11.8,0.4,57.3,490,70.8,75.6,2016
22,Wilton Speight, MICH,39.6,-1.4,-13,1.5,26.8,387,60.5,75.1,2016
23,Danny Etling, LSU,35.7,2,-11.3,1.4,27.8,343,62.5,74.7,2016
24,Jerod Evans, VT,66.1,15,-18.9,6.6,69,665,68.9,74,2016
25,Justin Herbert, ORE,35,2.3,-8.4,-0.9,28,336,65.2,73.9,2016
26,Josh Allen, WYO,57,30.8,-16.9,1.9,73,561,74.2,73.8,2016
27,Trace McSorley, PSU,62.7,0.6,-16.4,8.2,55.2,575,66.4,73.7,2016
28,Ryan Higgins, AMR,102.6,8.9,-14,2.4,99.9,616,82.4,73.5,2016
29,Dane Evans, TLSA,61.9,10.7,-14.5,5.3,63.2,529,73.4,72.6,2016
30,Trevor Knight, TA&M,24.2,22.4,-8.3,2,40.4,506,61.5,72.3,2016
31,Luke Falk, WSU,86.6,0.1,-19,2.9,70.6,769,66.7,72,2016
32,Brent Stockstill, MTSU,62.3,9.2,-5,7.8,74.3,500,77.8,71.9,2016
33,Skyler Howard, WVU,53.8,17.2,-16,6,61,584,69,71.6,2016
34,Sean White, AUB,21.5,8.4,-11.2,1.4,20.1,288,59.1,71.4,2016
35,J.T. Barrett IV, OSU,36.1,21,-16.6,1.6,42.1,632,59,70.5,2016
36,Greg Ward Jr., NTL,66.6,21.3,-17.6,3,73.4,693,69.9,70.3,2016
